timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777239124615,72,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,64,0,26
1777239124714,56,GET /restaurants (search),200,OK,Week4 Load Group 1-1,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,56,0,2
1777239124773,25,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,24,0,4
1777239124799,11,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,11,0,1
1777239124859,31,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /200/,192,258,2,2,http://localhost:8003/auth/user/login,31,0,3
1777239124812,84,GET /restaurants (search),200,OK,Week4 Load Group 1-1,text,true,,1409,150,2,2,http://localhost:8004/restaurants?search=pizza&city=San+Jose,83,0,1
1777239124896,11,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /202/,227,292,2,2,http://localhost:8001/restaurants/1/reviews,11,0,1
1777239124895,26,GET /restaurants (search),200,OK,Week4 Load Group 1-2,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,26,0,1
1777239124921,5,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,5,0,1
1777239124926,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777239124931,15,GET /restaurants (search),200,OK,Week4 Load Group 1-2,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,15,0,1
1777239124947,8,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,8,0,2
1777239125158,4,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-3,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,4,0,0
1777239125163,10,GET /restaurants (search),200,OK,Week4 Load Group 1-3,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,10,0,1
1777239125175,10,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-3,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,10,0,1
1777239125186,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-3,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777239125192,17,GET /restaurants (search),200,OK,Week4 Load Group 1-3,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,17,0,0
1777239125209,8,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-3,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,8,0,1
1777239125455,7,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-4,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,7,0,1
1777239125463,14,GET /restaurants (search),200,OK,Week4 Load Group 1-4,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,14,0,1
1777239125478,5,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-4,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,5,0,0
1777239125483,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-4,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777239125488,15,GET /restaurants (search),200,OK,Week4 Load Group 1-4,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,15,0,1
1777239125504,5,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-4,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,5,0,0
1777239125758,7,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-5,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,7,0,1
1777239125767,11,GET /restaurants (search),200,OK,Week4 Load Group 1-5,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,11,0,0
1777239125779,6,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-5,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,6,0,1
1777239125786,8,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-5,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,7,0,1
1777239125794,11,GET /restaurants (search),200,OK,Week4 Load Group 1-5,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,11,0,1
1777239125806,2,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-5,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,2,0,0
1777239126054,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-6,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777239126060,14,GET /restaurants (search),200,OK,Week4 Load Group 1-6,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,14,0,1
1777239126076,5,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-6,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,5,0,0
1777239126082,4,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-6,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,4,0,1
1777239126087,7,GET /restaurants (search),200,OK,Week4 Load Group 1-6,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,7,0,1
1777239126094,4,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-6,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,4,0,1
1777239126358,6,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,6,0,1
1777239126366,11,GET /restaurants (search),200,OK,Week4 Load Group 1-7,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,11,0,1
1777239126377,6,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,5,0,1
1777239126384,4,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,4,0,1
1777239126389,11,GET /restaurants (search),200,OK,Week4 Load Group 1-7,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,11,0,0
