timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777238773370,112,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,108,0,17
1777238773501,73,GET /restaurants (search),200,OK,Week4 Load Group 1-1,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,71,0,0
1777238773575,16,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,16,0,1
1777238773592,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777238773598,12,GET /restaurants (search),200,OK,Week4 Load Group 1-1,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,12,0,0
1777238773610,3,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-1,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,3,0,1
1777238773622,6,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,2
1777238773628,9,GET /restaurants (search),200,OK,Week4 Load Group 1-2,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,9,0,1
1777238773637,6,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,6,0,1
1777238773643,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777238773648,19,GET /restaurants (search),200,OK,Week4 Load Group 1-2,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,19,0,1
1777238773667,7,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-2,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,6,0,1
1777238773918,7,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-3,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,7,0,1
1777238773926,8,GET /restaurants (search),200,OK,Week4 Load Group 1-3,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,8,0,0
